1	1	1	1	1	1	1	1	1	1	1	1	1	
1	9	4	8	10	3	2	2	3	10	8	4	9	
9	1	9	4	8	10	3	2	2	3	10	8	4	
4	9	1	9	4	8	10	3	2	2	3	10	8	
8	4	9	1	9	4	8	10	3	2	2	3	10	
10	8	4	9	1	9	4	8	10	3	2	2	3	
3	10	8	4	9	1	9	4	8	10	3	2	2	
2	3	10	8	4	9	1	9	4	8	10	3	2	
2	2	3	10	8	4	9	1	9	4	8	10	3	
3	2	2	3	10	8	4	9	1	9	4	8	10	
10	3	2	2	3	10	8	4	9	1	9	4	8	
8	10	3	2	2	3	10	8	4	9	1	9	4	
4	8	10	3	2	2	3	10	8	4	9	1	9	
9	4	8	10	3	2	2	3	10	8	4	9	1	
1	7	3	6	5	2	4	4	2	5	6	3	7	
7	1	7	3	6	5	2	4	4	2	5	6	3	
3	7	1	7	3	6	5	2	4	4	2	5	6	
6	3	7	1	7	3	6	5	2	4	4	2	5	
5	6	3	7	1	7	3	6	5	2	4	4	2	
2	5	6	3	7	1	7	3	6	5	2	4	4	
4	2	5	6	3	7	1	7	3	6	5	2	4	
4	4	2	5	6	3	7	1	7	3	6	5	2	
2	4	4	2	5	6	3	7	1	7	3	6	5	
5	2	4	4	2	5	6	3	7	1	7	3	6	
6	5	2	4	4	2	5	6	3	7	1	7	3	
3	6	5	2	4	4	2	5	6	3	7	1	7	
7	3	6	5	2	4	4	2	5	6	3	7	1	
1	10	6	9	8	7	5	5	7	8	9	6	10	
10	1	10	6	9	8	7	5	5	7	8	9	6	
6	10	1	10	6	9	8	7	5	5	7	8	9	
9	6	10	1	10	6	9	8	7	5	5	7	8	
8	9	6	10	1	10	6	9	8	7	5	5	7	
7	8	9	6	10	1	10	6	9	8	7	5	5	
5	7	8	9	6	10	1	10	6	9	8	7	5	
5	5	7	8	9	6	10	1	10	6	9	8	7	
7	5	5	7	8	9	6	10	1	10	6	9	8	
8	7	5	5	7	8	9	6	10	1	10	6	9	
9	8	7	5	5	7	8	9	6	10	1	10	6	
6	9	8	7	5	5	7	8	9	6	10	1	10	
10	6	9	8	7	5	5	7	8	9	6	10	1	
