1	1	1	1	1	1	1	1	1	
1	3	6	7	2	2	7	6	3	
3	1	3	6	7	2	2	7	6	
6	3	1	3	6	7	2	2	7	
7	6	3	1	3	6	7	2	2	
2	7	6	3	1	3	6	7	2	
2	2	7	6	3	1	3	6	7	
7	2	2	7	6	3	1	3	6	
6	7	2	2	7	6	3	1	3	
3	6	7	2	2	7	6	3	1	
1	5	4	2	3	3	2	4	5	
5	1	5	4	2	3	3	2	4	
4	5	1	5	4	2	3	3	2	
2	4	5	1	5	4	2	3	3	
3	2	4	5	1	5	4	2	3	
3	3	2	4	5	1	5	4	2	
2	3	3	2	4	5	1	5	4	
4	2	3	3	2	4	5	1	5	
5	4	2	3	3	2	4	5	1	
1	4	7	5	6	6	5	7	4	
4	1	4	7	5	6	6	5	7	
7	4	1	4	7	5	6	6	5	
5	7	4	1	4	7	5	6	6	
6	5	7	4	1	4	7	5	6	
6	6	5	7	4	1	4	7	5	
5	6	6	5	7	4	1	4	7	
7	5	6	6	5	7	4	1	4	
4	7	5	6	6	5	7	4	1	
