1	2	5	12	13	3	10	4	21	17	14	7	16	8	15	6	20	22	18	9	19	
2	3	6	13	14	4	11	5	22	18	15	8	17	9	16	7	21	1	19	10	20	
3	4	7	14	15	5	12	6	1	19	16	9	18	10	17	8	22	2	20	11	21	
4	5	8	15	16	6	13	7	2	20	17	10	19	11	18	9	1	3	21	12	22	
5	6	9	16	17	7	14	8	3	21	18	11	20	12	19	10	2	4	22	13	1	
6	7	10	17	18	8	15	9	4	22	19	12	21	13	20	11	3	5	1	14	2	
7	8	11	18	19	9	16	10	5	1	20	13	22	14	21	12	4	6	2	15	3	
8	9	12	19	20	10	17	11	6	2	21	14	1	15	22	13	5	7	3	16	4	
9	10	13	20	21	11	18	12	7	3	22	15	2	16	1	14	6	8	4	17	5	
10	11	14	21	22	12	19	13	8	4	1	16	3	17	2	15	7	9	5	18	6	
11	12	15	22	1	13	20	14	9	5	2	17	4	18	3	16	8	10	6	19	7	
12	13	16	1	2	14	21	15	10	6	3	18	5	19	4	17	9	11	7	20	8	
13	14	17	2	3	15	22	16	11	7	4	19	6	20	5	18	10	12	8	21	9	
14	15	18	3	4	16	1	17	12	8	5	20	7	21	6	19	11	13	9	22	10	
15	16	19	4	5	17	2	18	13	9	6	21	8	22	7	20	12	14	10	1	11	
16	17	20	5	6	18	3	19	14	10	7	22	9	1	8	21	13	15	11	2	12	
17	18	21	6	7	19	4	20	15	11	8	1	10	2	9	22	14	16	12	3	13	
18	19	22	7	8	20	5	21	16	12	9	2	11	3	10	1	15	17	13	4	14	
19	20	1	8	9	21	6	22	17	13	10	3	12	4	11	2	16	18	14	5	15	
20	21	2	9	10	22	7	1	18	14	11	4	13	5	12	3	17	19	15	6	16	
21	22	3	10	11	1	8	2	19	15	12	5	14	6	13	4	18	20	16	7	17	
22	1	4	11	12	2	9	3	20	16	13	6	15	7	14	5	19	21	17	8	18	
1	3	9	17	20	11	19	14	10	7	5	21	12	6	18	8	4	16	15	2	14	
2	4	10	18	21	12	20	15	11	8	6	22	13	7	19	9	5	17	16	3	15	
3	5	11	19	22	13	21	16	12	9	7	1	14	8	20	10	6	18	17	4	16	
4	6	12	20	1	14	22	17	13	10	8	2	15	9	21	11	7	19	18	5	17	
5	7	13	21	2	15	1	18	14	11	9	3	16	10	22	12	8	20	19	6	18	
6	8	14	22	3	16	2	19	15	12	10	4	17	11	1	13	9	21	20	7	19	
7	9	15	1	4	17	3	20	16	13	11	5	18	12	2	14	10	22	21	8	20	
8	10	16	2	5	18	4	21	17	14	12	6	19	13	3	15	11	1	22	9	21	
9	11	17	3	6	19	5	22	18	15	13	7	20	14	4	16	12	2	1	10	22	
10	12	18	4	7	20	6	1	19	16	14	8	21	15	5	17	13	3	2	11	1	
11	13	19	5	8	21	7	2	20	17	15	9	22	16	6	18	14	4	3	12	2	
12	14	20	6	9	22	8	3	21	18	16	10	1	17	7	19	15	5	4	13	3	
13	15	21	7	10	1	9	4	22	19	17	11	2	18	8	20	16	6	5	14	4	
14	16	22	8	11	2	10	5	1	20	18	12	3	19	9	21	17	7	6	15	5	
15	17	1	9	12	3	11	6	2	21	19	13	4	20	10	22	18	8	7	16	6	
16	18	2	10	13	4	12	7	3	22	20	14	5	21	11	1	19	9	8	17	7	
17	19	3	11	14	5	13	8	4	1	21	15	6	22	12	2	20	10	9	18	8	
18	20	4	12	15	6	14	9	5	2	22	16	7	1	13	3	21	11	10	19	9	
19	21	5	13	16	7	15	10	6	3	1	17	8	2	14	4	22	12	11	20	10	
20	22	6	14	17	8	16	11	7	4	2	18	9	3	15	5	1	13	12	21	11	
21	1	7	15	18	9	17	12	8	5	3	19	10	4	16	6	2	14	13	22	12	
22	2	8	16	19	10	18	13	9	6	4	20	11	5	17	7	3	15	14	1	13	
1	4	12	15	3	19	6	2	16	14	18	13	9	22	20	7	8	11	5	17	10	
2	5	13	16	4	20	7	3	17	15	19	14	10	1	21	8	9	12	6	18	11	
3	6	14	17	5	21	8	4	18	16	20	15	11	2	22	9	10	13	7	19	12	
4	7	15	18	6	22	9	5	19	17	21	16	12	3	1	10	11	14	8	20	13	
5	8	16	19	7	1	10	6	20	18	22	17	13	4	2	11	12	15	9	21	14	
6	9	17	20	8	2	11	7	21	19	1	18	14	5	3	12	13	16	10	22	15	
7	10	18	21	9	3	12	8	22	20	2	19	15	6	4	13	14	17	11	1	16	
8	11	19	22	10	4	13	9	1	21	3	20	16	7	5	14	15	18	12	2	17	
9	12	20	1	11	5	14	10	2	22	4	21	17	8	6	15	16	19	13	3	18	
10	13	21	2	12	6	15	11	3	1	5	22	18	9	7	16	17	20	14	4	19	
11	14	22	3	13	7	16	12	4	2	6	1	19	10	8	17	18	21	15	5	20	
12	15	1	4	14	8	17	13	5	3	7	2	20	11	9	18	19	22	16	6	21	
13	16	2	5	15	9	18	14	6	4	8	3	21	12	10	19	20	1	17	7	22	
14	17	3	6	16	10	19	15	7	5	9	4	22	13	11	20	21	2	18	8	1	
15	18	4	7	17	11	20	16	8	6	10	5	1	14	12	21	22	3	19	9	2	
16	19	5	8	18	12	21	17	9	7	11	6	2	15	13	22	1	4	20	10	3	
17	20	6	9	19	13	22	18	10	8	12	7	3	16	14	1	2	5	21	11	4	
18	21	7	10	20	14	1	19	11	9	13	8	4	17	15	2	3	6	22	12	5	
19	22	8	11	21	15	2	20	12	10	14	9	5	18	16	3	4	7	1	13	6	
20	1	9	12	22	16	3	21	13	11	15	10	6	19	17	4	5	8	2	14	7	
21	2	10	13	1	17	4	22	14	12	16	11	7	20	18	5	6	9	3	15	8	
22	3	11	14	2	18	5	1	15	13	17	12	8	21	19	6	7	10	4	16	9	
1	5	14	7	9	17	18	10	3	8	21	6	4	19	16	11	13	2	12	6	9	
2	6	15	8	10	18	19	11	4	9	22	7	5	20	17	12	14	3	13	7	10	
3	7	16	9	11	19	20	12	5	10	1	8	6	21	18	13	15	4	14	8	11	
4	8	17	10	12	20	21	13	6	11	2	9	7	22	19	14	16	5	15	9	12	
5	9	18	11	13	21	22	14	7	12	3	10	8	1	20	15	17	6	16	10	13	
6	10	19	12	14	22	1	15	8	13	4	11	9	2	21	16	18	7	17	11	14	
7	11	20	13	15	1	2	16	9	14	5	12	10	3	22	17	19	8	18	12	15	
8	12	21	14	16	2	3	17	10	15	6	13	11	4	1	18	20	9	19	13	16	
9	13	22	15	17	3	4	18	11	16	7	14	12	5	2	19	21	10	20	14	17	
10	14	1	16	18	4	5	19	12	17	8	15	13	6	3	20	22	11	21	15	18	
11	15	2	17	19	5	6	20	13	18	9	16	14	7	4	21	1	12	22	16	19	
12	16	3	18	20	6	7	21	14	19	10	17	15	8	5	22	2	13	1	17	20	
13	17	4	19	21	7	8	22	15	20	11	18	16	9	6	1	3	14	2	18	21	
14	18	5	20	22	8	9	1	16	21	12	19	17	10	7	2	4	15	3	19	22	
15	19	6	21	1	9	10	2	17	22	13	20	18	11	8	3	5	16	4	20	1	
16	20	7	22	2	10	11	3	18	1	14	21	19	12	9	4	6	17	5	21	2	
17	21	8	1	3	11	12	4	19	2	15	22	20	13	10	5	7	18	6	22	3	
18	22	9	2	4	12	13	5	20	3	16	1	21	14	11	6	8	19	7	1	4	
19	1	10	3	5	13	14	6	21	4	17	2	22	15	12	7	9	20	8	2	5	
20	2	11	4	6	14	15	7	22	5	18	3	1	16	13	8	10	21	9	3	6	
21	3	12	5	7	15	16	8	1	6	19	4	2	17	14	9	11	22	10	4	7	
22	4	13	6	8	16	17	9	2	7	20	5	3	18	15	10	12	1	11	5	8	
