1	2	5	7	10	11	12	28	18	21	25	15	26	17	6	13	8	9	24	14	18	22	6	19	23	20	3	
2	3	6	8	11	12	13	1	19	22	26	16	27	18	7	14	9	10	25	15	19	23	7	20	24	21	4	
3	4	7	9	12	13	14	2	20	23	27	17	28	19	8	15	10	11	26	16	20	24	8	21	25	22	5	
4	5	8	10	13	14	15	3	21	24	28	18	1	20	9	16	11	12	27	17	21	25	9	22	26	23	6	
5	6	9	11	14	15	16	4	22	25	1	19	2	21	10	17	12	13	28	18	22	26	10	23	27	24	7	
6	7	10	12	15	16	17	5	23	26	2	20	3	22	11	18	13	14	1	19	23	27	11	24	28	25	8	
7	8	11	13	16	17	18	6	24	27	3	21	4	23	12	19	14	15	2	20	24	28	12	25	1	26	9	
8	9	12	14	17	18	19	7	25	28	4	22	5	24	13	20	15	16	3	21	25	1	13	26	2	27	10	
9	10	13	15	18	19	20	8	26	1	5	23	6	25	14	21	16	17	4	22	26	2	14	27	3	28	11	
10	11	14	16	19	20	21	9	27	2	6	24	7	26	15	22	17	18	5	23	27	3	15	28	4	1	12	
11	12	15	17	20	21	22	10	28	3	7	25	8	27	16	23	18	19	6	24	28	4	16	1	5	2	13	
12	13	16	18	21	22	23	11	1	4	8	26	9	28	17	24	19	20	7	25	1	5	17	2	6	3	14	
13	14	17	19	22	23	24	12	2	5	9	27	10	1	18	25	20	21	8	26	2	6	18	3	7	4	15	
14	15	18	20	23	24	25	13	3	6	10	28	11	2	19	26	21	22	9	27	3	7	19	4	8	5	16	
15	16	19	21	24	25	26	14	4	7	11	1	12	3	20	27	22	23	10	28	4	8	20	5	9	6	17	
16	17	20	22	25	26	27	15	5	8	12	2	13	4	21	28	23	24	11	1	5	9	21	6	10	7	18	
17	18	21	23	26	27	28	16	6	9	13	3	14	5	22	1	24	25	12	2	6	10	22	7	11	8	19	
18	19	22	24	27	28	1	17	7	10	14	4	15	6	23	2	25	26	13	3	7	11	23	8	12	9	20	
19	20	23	25	28	1	2	18	8	11	15	5	16	7	24	3	26	27	14	4	8	12	24	9	13	10	21	
20	21	24	26	1	2	3	19	9	12	16	6	17	8	25	4	27	28	15	5	9	13	25	10	14	11	22	
21	22	25	27	2	3	4	20	10	13	17	7	18	9	26	5	28	1	16	6	10	14	26	11	15	12	23	
22	23	26	28	3	4	5	21	11	14	18	8	19	10	27	6	1	2	17	7	11	15	27	12	16	13	24	
23	24	27	1	4	5	6	22	12	15	19	9	20	11	28	7	2	3	18	8	12	16	28	13	17	14	25	
24	25	28	2	5	6	7	23	13	16	20	10	21	12	1	8	3	4	19	9	13	17	1	14	18	15	26	
25	26	1	3	6	7	8	24	14	17	21	11	22	13	2	9	4	5	20	10	14	18	2	15	19	16	27	
26	27	2	4	7	8	9	25	15	18	22	12	23	14	3	10	5	6	21	11	15	19	3	16	20	17	28	
27	28	3	5	8	9	10	26	16	19	23	13	24	15	4	11	6	7	22	12	16	20	4	17	21	18	1	
28	1	4	6	9	10	11	27	17	20	24	14	25	16	5	12	7	8	23	13	17	21	5	18	22	19	2	
1	3	9	13	19	21	23	14	6	10	16	8	20	12	11	26	28	5	22	17	15	2	24	26	25	4	18	
2	4	10	14	20	22	24	15	7	11	17	9	21	13	12	27	1	6	23	18	16	3	25	27	26	5	19	
3	5	11	15	21	23	25	16	8	12	18	10	22	14	13	28	2	7	24	19	17	4	26	28	27	6	20	
4	6	12	16	22	24	26	17	9	13	19	11	23	15	14	1	3	8	25	20	18	5	27	1	28	7	21	
5	7	13	17	23	25	27	18	10	14	20	12	24	16	15	2	4	9	26	21	19	6	28	2	1	8	22	
6	8	14	18	24	26	28	19	11	15	21	13	25	17	16	3	5	10	27	22	20	7	1	3	2	9	23	
7	9	15	19	25	27	1	20	12	16	22	14	26	18	17	4	6	11	28	23	21	8	2	4	3	10	24	
8	10	16	20	26	28	2	21	13	17	23	15	27	19	18	5	7	12	1	24	22	9	3	5	4	11	25	
9	11	17	21	27	1	3	22	14	18	24	16	28	20	19	6	8	13	2	25	23	10	4	6	5	12	26	
10	12	18	22	28	2	4	23	15	19	25	17	1	21	20	7	9	14	3	26	24	11	5	7	6	13	27	
11	13	19	23	1	3	5	24	16	20	26	18	2	22	21	8	10	15	4	27	25	12	6	8	7	14	28	
12	14	20	24	2	4	6	25	17	21	27	19	3	23	22	9	11	16	5	28	26	13	7	9	8	15	1	
13	15	21	25	3	5	7	26	18	22	28	20	4	24	23	10	12	17	6	1	27	14	8	10	9	16	2	
14	16	22	26	4	6	8	27	19	23	1	21	5	25	24	11	13	18	7	2	28	15	9	11	10	17	3	
15	17	23	27	5	7	9	28	20	24	2	22	6	26	25	12	14	19	8	3	1	16	10	12	11	18	4	
16	18	24	28	6	8	10	1	21	25	3	23	7	27	26	13	15	20	9	4	2	17	11	13	12	19	5	
17	19	25	1	7	9	11	2	22	26	4	24	8	28	27	14	16	21	10	5	3	18	12	14	13	20	6	
18	20	26	2	8	10	12	3	23	27	5	25	9	1	28	15	17	22	11	6	4	19	13	15	14	21	7	
19	21	27	3	9	11	13	4	24	28	6	26	10	2	1	16	18	23	12	7	5	20	14	16	15	22	8	
20	22	28	4	10	12	14	5	25	1	7	27	11	3	2	17	19	24	13	8	6	21	15	17	16	23	9	
21	23	1	5	11	13	15	6	26	2	8	28	12	4	3	18	20	25	14	9	7	22	16	18	17	24	10	
22	24	2	6	12	14	16	7	27	3	9	1	13	5	4	19	21	26	15	10	8	23	17	19	18	25	11	
23	25	3	7	13	15	17	8	28	4	10	2	14	6	5	20	22	27	16	11	9	24	18	20	19	26	12	
24	26	4	8	14	16	18	9	1	5	11	3	15	7	6	21	23	28	17	12	10	25	19	21	20	27	13	
25	27	5	9	15	17	19	10	2	6	12	4	16	8	7	22	24	1	18	13	11	26	20	22	21	28	14	
26	28	6	10	16	18	20	11	3	7	13	5	17	9	8	23	25	2	19	14	12	27	21	23	22	1	15	
27	1	7	11	17	19	21	12	4	8	14	6	18	10	9	24	26	3	20	15	13	28	22	24	23	2	16	
28	2	8	12	18	20	22	13	5	9	15	7	19	11	10	25	27	4	21	16	14	1	23	25	24	3	17	
1	4	12	17	25	3	6	21	15	27	8	24	16	5	9	11	22	28	13	19	2	7	14	23	24	16	26	
2	5	13	18	26	4	7	22	16	28	9	25	17	6	10	12	23	1	14	20	3	8	15	24	25	17	27	
3	6	14	19	27	5	8	23	17	1	10	26	18	7	11	13	24	2	15	21	4	9	16	25	26	18	28	
4	7	15	20	28	6	9	24	18	2	11	27	19	8	12	14	25	3	16	22	5	10	17	26	27	19	1	
5	8	16	21	1	7	10	25	19	3	12	28	20	9	13	15	26	4	17	23	6	11	18	27	28	20	2	
6	9	17	22	2	8	11	26	20	4	13	1	21	10	14	16	27	5	18	24	7	12	19	28	1	21	3	
7	10	18	23	3	9	12	27	21	5	14	2	22	11	15	17	28	6	19	25	8	13	20	1	2	22	4	
8	11	19	24	4	10	13	28	22	6	15	3	23	12	16	18	1	7	20	26	9	14	21	2	3	23	5	
9	12	20	25	5	11	14	1	23	7	16	4	24	13	17	19	2	8	21	27	10	15	22	3	4	24	6	
10	13	21	26	6	12	15	2	24	8	17	5	25	14	18	20	3	9	22	28	11	16	23	4	5	25	7	
11	14	22	27	7	13	16	3	25	9	18	6	26	15	19	21	4	10	23	1	12	17	24	5	6	26	8	
12	15	23	28	8	14	17	4	26	10	19	7	27	16	20	22	5	11	24	2	13	18	25	6	7	27	9	
13	16	24	1	9	15	18	5	27	11	20	8	28	17	21	23	6	12	25	3	14	19	26	7	8	28	10	
14	17	25	2	10	16	19	6	28	12	21	9	1	18	22	24	7	13	26	4	15	20	27	8	9	1	11	
15	18	26	3	11	17	20	7	1	13	22	10	2	19	23	25	8	14	27	5	16	21	28	9	10	2	12	
